test_label,test_seq,test_seg,train_label,train_seq,costs
can you go fetch,63,2500,eat,23,"[0.004770132257764717, 0.005120387449009124, 0.00524747151840797, 0.0051252785588729805, 0.004878984888134179, 0.005176045338081805, 0.00568087177046756, 0.006727452375374168, 0.007580467622783314, 0.007928812936789506, 0.007572077357702094, 0.007457697810374246, 0.007299980379172926, 0.006780455628149766]"
can you go fetch,63,2500,eat,21,"[0.004691013018211417, 0.004632065790896713, 0.004441635922968666, 0.004985229698973684, 0.005255921820666561, 0.00600899746960457, 0.006598401201518624, 0.006696582908088745, 0.007456695593451655, 0.00832936342584492, 0.008318612379462945, 0.007890073692063668, 0.007631177280295202, 0.007253345609998246]"
can you go fetch,63,2500,eat,21,"[0.003884966704199453, 0.003932621143063674, 0.003687352725346477, 0.004187187383706796, 0.004153103745348388, 0.004738415701907578, 0.005493350069927667, 0.007001548108885887, 0.007522214860143951, 0.008569214121400522, 0.008587680312236924, 0.008701296083138138, 0.008434451438885235, 0.008218967887526272]"
can you go fetch,63,2500,eat,20,"[0.004369040714038108, 0.004282648064706493, 0.004055212371205106, 0.0039741365291353055, 0.004239452409115258, 0.005233476564868955, 0.006219153333790833, 0.007236692318721932, 0.007383855872462331, 0.008182683598683294, 0.008530999295711536, 0.008712911618930539, 0.008432891071595621, 0.008085538669559295, 0.007575304267801839]"
can you go fetch,63,2500,eat,23,"[0.004153610545004991, 0.004245418189184123, 0.0044072350725463645, 0.0050541161727398875, 0.00541101273524635, 0.0062827423520861675, 0.00682653054347377, 0.006873243166566495, 0.007620952874353652, 0.007721619083295133, 0.007656921219135196, 0.007602451187443698, 0.007500740603094213, 0.0072069630265527]"
can you go fetch,63,2500,eat,23,"[0.004190508777643514, 0.004100888244433578, 0.004464919286694149, 0.004890636244316062, 0.004684125072145785, 0.004978498054604273, 0.005388034255103231, 0.006476500531978023, 0.007245849523658742, 0.0074286398495380535, 0.007111582195312284, 0.006940359777744516, 0.006755165741610213, 0.006368785372645878]"
can you go fetch,63,2500,eat,21,"[0.003975508194354789, 0.003875218858431028, 0.0035531058325496308, 0.003835544547418233, 0.0038350833253427406, 0.004155069507424331, 0.0046051287480105615, 0.005609700685662721, 0.006482306969704403, 0.007294969846184466, 0.007077599912180821, 0.007159071364418005, 0.007244062180222478, 0.007435182606020673]"
can you go fetch,63,2500,eat,25,"[0.00455417778456676, 0.00476957422933755, 0.005187528402368451, 0.005447663738325496, 0.005338280263352924, 0.005735040626722472, 0.006489880209024223, 0.008592636468754267, 0.009910797812603097, 0.009577343260984418, 0.009546329665827302, 0.00959138234166105, 0.009381547768553797]"
can you go fetch,63,2500,eat,20,"[0.004484137852505876, 0.004185657544935428, 0.004072133619383256, 0.004410522988826706, 0.004429380936877431, 0.004587407706977792, 0.005250042040849135, 0.006845721775626238, 0.007683034872524095, 0.009113741713468595, 0.009596285144786096, 0.009767428127725486, 0.00971191836153775, 0.009630408403370375, 0.00894018443829121]"
can you go fetch,63,2500,eat,20,"[0.004179676144681321, 0.0037160414810807284, 0.003608771740684019, 0.0042397280504366695, 0.004392855477986751, 0.004629695210725343, 0.0051547416736324155, 0.005983794731621694, 0.006551847529692198, 0.006587999301997591, 0.006814544642670261, 0.007149389555186067, 0.007585396353870436, 0.008140033873261098, 0.0075316360466262415]"
can you go fetch,63,2500,eat,23,"[0.00382301346002066, 0.00361730998265736, 0.004360484480023922, 0.004702242346436733, 0.004526417382690104, 0.004850115535726516, 0.005432996514299392, 0.006755930404920063, 0.008115764292730891, 0.008104210372656583, 0.00811479820400315, 0.008673752583463756, 0.009285624169084994, 0.008601525499012615]"
can you go fetch,63,2500,eat,26,"[0.00545775328326092, 0.005728127147700661, 0.005807208155027115, 0.006049660400082564, 0.006076229440916574, 0.006422319520979049, 0.006771790323546286, 0.00852440048400874, 0.009321663322463461, 0.009421568088040393, 0.008928821185225394, 0.009001666336573287, 0.008623245700226389]"
can you go fetch,63,2500,eat,20,"[0.0045833431308794585, 0.0045994391656046935, 0.004163465647185838, 0.004002492135488381, 0.004628199937793287, 0.005854919668368669, 0.0071752302842996996, 0.007750417745377625, 0.0077753341850250925, 0.008595346158437572, 0.008970334360466837, 0.009527469142889966, 0.009357786080143028, 0.00913450168524163, 0.008709480218819385]"
can you go fetch,63,2500,eat,20,"[0.004424743020765657, 0.004080634070660902, 0.003669299944020579, 0.003661012556425691, 0.003929018157007333, 0.00453218438773256, 0.005401149609388406, 0.0067556204476640815, 0.006979607610321181, 0.007955653916421867, 0.008176724151830003, 0.008419461804093784, 0.008141824410766874, 0.008049511372997625, 0.00790658044752692]"
